"song_title","register","year","points","peak_rank"
"Livin' La Vida Loca",5,1999,1751,1
"Meet Virginia",8,1999,1727,20
"All I Have To Give",7,1999,1712,5
"Anywhere",6,1999,1700,15
"Last Kiss",7,1999,1645,2
"All The Small Things",6,1999,1564,6
"Bailamos",8,1999,1558,1
"I Do (Cherish You)",6,1999,1478,13
"Tell Me It's Real",8,1999,1442,2
"Please Remember Me",6,1999,1433,10
"If You (Lovin' Me)",8,1999,1416,13
"Blue (Da Ba Dee)",4,1999,1409,6
"She's All I Ever Had",5,1999,1379,2
"You",9,1999,1344,10
"Take A Picture",6,1999,1341,12
"He Can't Love U",7,1999,1324,15
"Learn To Fly",7,1999,1288,19
"Happily Ever After",8,1999,1258,15
"So Anxious",7,1999,1252,16
"Out Of My Head",6,1999,1184,20
"How Forever Feels",5,1999,1184,27
"My Best Friend",6,1999,1131,29
"Write This Down",5,1999,1114,27
"Something Like That",6,1999,1099,28
"God Must Have Spent A Little More Time On You",5,1999,1097,29
"24/7",8,1999,1093,10
"Hanginaround",7,1999,1076,28
"Girl On TV",9,1999,1050,10
"Stay The Night",8,1999,1045,23
"He Didn't Have To Be",5,1999,981,30
"You'll Be In My Heart",6,1999,975,21
"Stay The Same",8,1999,966,10
"Larger Than Life",5,1999,925,25
"When I Said I Do",7,1999,920,31
"If I Could Turn Back The Hands Of Time",6,1999,920,12
"I Could Not Ask For More",8,1999,907,37
"If You Love Me",8,1999,894,30
"You Had Me From Hello",6,1999,871,34
"You Won't Ever Be Lonely",7,1999,858,28
"Shake Your Bon-Bon",7,1999,853,22
"Wish You Were Here",6,1999,846,34
"Smile",6,1999,823,39
"Two Teardrops",7,1999,797,30
"Got To Get It",6,1999,776,40
"Taking Everything",7,1999,762,11
"American Woman",6,1999,756,49
"What's So Different",5,1999,708,49
"Rhythm Divine",9,1999,703,32
"Anyone Else",6,1999,702,37
"My Own Worst Enemy",7,1999,700,51
"15 Minutes",7,1999,697,27
"Little Man",5,1999,695,39
"Home To You",5,1999,690,45
"Blue Monday",4,1999,648,56
"What's My Age Again?",5,1999,642,58
"What Do You Say To That",5,1999,636,45
"Ordinary Life",6,1999,619,39
"Meanwhile",5,1999,588,38
"The Animal Song",7,1999,585,19
"All Things Considered",7,1999,568,55
"Pop A Top",4,1999,566,43
"Dancin'",5,1999,562,19
"Busy Man",6,1999,552,46
"Drive Me Wild",4,1999,530,44
"I'm Not Ready",6,1999,528,16
"Gone Crazy",5,1999,511,43
"I'm Already Taken",7,1999,510,42
"Lonely And Gone",4,1999,493,46
"None Of Ur Friends Business",8,1999,479,48
"The Great Beyond",5,1999,475,57
"Lately",6,1999,475,56
"The Chemicals Between Us",5,1999,466,67
"I Will Get There",8,1999,434,32
"One",7,1999,416,70
"Georgy Porgy",7,1999,411,55
"Who Needs Pictures",6,1999,354,65
"Life",6,1999,330,60
"Hillbilly Shoes",7,1999,311,62
"I'll Go Crazy",6,1999,296,65
"Heavy",5,1999,280,73
"Meeting In My Bedroom",4,1999,279,62
"Guerrilla Radio",7,1999,273,69
"She's In Love",7,1999,269,60
"The Greatest Romance Ever Sold",7,1999,266,63
"Crazy Little Thing Called Love",6,1999,260,64
"Crush",5,1999,238,75
"I Drive Myself Crazy",6,1999,221,67
"Get Involved",5,1999,200,67
"Why Don't You Get A Job?",7,1999,196,74
"Keepin' Up",6,1999,190,69
"The Dolphin's Cry",5,1999,186,78
"She Thinks My Tractor's Sexy",5,1999,171,74
"The Day The World Went Away",5,1999,171,17
"I Love You Came Too Late",8,1999,162,54
"Re-arranged",6,1999,149,88
"Beauty",8,1999,139,79
"I'll Be Your Everything",6,1999,137,71
"She's Always Right",5,1999,132,74
"Live, Laugh, Love",7,1999,129,74
"Lightning Does The Work",5,1999,112,86
"Run",6,1999,112,76
"Slave To The Habit",8,1999,82,82
"Stranger In My Mirror",5,1999,61,81
"Missing You",7,1999,57,75
"At The Stars",6,1999,54,78
"A Bitter End",7,1999,42,88
"I'm Leaving",4,1999,35,87
"Another Way",5,1999,2,100
"Kryptonite",6,2000,3950,3
"The Way You Love Me",6,2000,3867,6
"I Wanna Know",6,2000,3511,4
"Everything You Want",5,2000,3262,1
"If You're Gone",5,2000,3253,5
"Bent",5,2000,3212,1
"With Arms Wide Open",6,2000,3157,1
"Again",8,2000,2632,4
"You Sang To Me",7,2000,2481,2
"Maria Maria",7,2000,2353,1
"Thong Song",8,2000,2291,3
"Angel",5,2000,2263,1
"It Wasn't Me",7,2000,2191,1
"Back Here",6,2000,2181,13
"This I Promise You",7,2000,2116,5
"No More",6,2000,2108,5
"South Side",7,2000,2107,14
"Absolutely (Story Of A Girl)",6,2000,2012,6
"Bye Bye Bye",6,2000,1995,4
"Incomplete",7,2000,1994,1
"It's Gonna Be Me",7,2000,1983,1
"Crazy",8,2000,1882,11
"Show Me The Meaning Of Being Lonely",6,2000,1854,6
"Crazy For This Girl",7,2000,1726,15
"Be With You",7,2000,1703,1
"Let's Get Married",7,2000,1671,11
"Never Let You Go",8,2000,1653,14
"Desert Rose",6,2000,1638,17
"I Wish",6,2000,1595,14
"Wifey",7,2000,1529,7
"Beautiful Day",6,2000,1509,21
"Promise",5,2000,1493,9
"Wonderful",8,2000,1466,11
"Shape Of My Heart",7,2000,1459,9
"Otherside",6,2000,1426,14
"Pinch Me",5,2000,1408,15
"Separated",7,2000,1373,23
"You're A God",5,2000,1344,23
"I Wish",7,2000,1292,20
"Give Me Just One Night (Una Noche)",7,2000,1267,2
"Only God Knows Why",7,2000,1240,19
"Hemorrhage (In My Hands)",7,2000,1239,30
"Best Of Intentions",6,2000,1170,27
"Swear It Again",5,2000,1153,20
"She Bangs",5,2000,1150,12
"My Next Thirty Years",6,2000,1136,27
"The Best Day",6,2000,1126,31
"How Do You Like Me Now?!",6,2000,1111,31
"Where I Wanna Be",5,2000,1107,29
"Yes!",5,2000,1104,22
"Crash And Burn",7,2000,1089,24
"Liar",7,2000,1075,14
"You Shouldn't Kiss Me Like This",5,2000,1039,32
"What About Now",7,2000,1022,30
"Broadway",6,2000,1020,24
"Just Friends (Sunny)",7,2000,1007,31
"It's My Life",8,2000,988,33
"I Like It",8,2000,963,24
"The Little Girl",6,2000,930,35
"We Danced",5,2000,922,29
"Untitled (How Does It Feel)",8,2000,911,25
"Liquid Dreams",6,2000,877,10
"Just Another Day In Paradise",7,2000,877,35
"Could It Be",5,2000,863,26
"It Must Be Love",4,2000,858,37
"Falls Apart",5,2000,851,29
"She's More",6,2000,844,37
"But For The Grace Of God",6,2000,841,37
"Prayin' For Daylight",8,2000,840,38
"I Lost It",7,2000,831,34
"Go On",6,2000,806,40
"Tell Her",6,2000,780,39
"My Everything",7,2000,766,34
"The Chain Of Love",4,2000,750,40
"Back At One",6,2000,746,36
"Buy Me A Rose",5,2000,742,40
"Lessons Learned",5,2000,705,40
"Emotional",7,2000,696,47
"Kiss This",3,2000,681,42
"Loser",4,2000,678,55
"One Woman Man",8,2000,678,44
"Carlene",6,2000,661,45
"Unconditional",7,2000,649,49
"Feels Like Love",7,2000,637,52
"The One",7,2000,612,30
"Flowers On The Wall",6,2000,594,50
"www.memory",5,2000,564,45
"What I Need To Do",6,2000,544,56
"Babylon",6,2000,528,57
"Taking You Home",7,2000,521,58
"Some Things Never Change",6,2000,504,58
"I Learned From The Best",6,2000,495,27
"Wild Horses",5,2000,479,50
"Country Comes To Town",5,2000,471,54
"Your Everything",6,2000,464,51
"You'll Always Be Loved By Me",7,2000,459,55
"Californication",7,2000,443,69
"Treat Her Like A Lady",6,2000,395,63
"My Baby You",8,2000,379,70
"This Everyday Love",8,2000,373,56
"Change Your Mind",7,2000,368,59
"This Time Around",8,2000,345,20
"It's Always Somethin'",5,2000,330,57
"Mamacita",6,2000,316,39
"Still On Your Side",8,2000,295,54
"More",5,2000,272,65
"Deep Inside Of You",5,2000,254,69
"U Don't Love Me",6,2000,245,62
"When You Need My Love",4,2000,232,75
"I Belong To You",6,2000,185,71
"Sour Girl",7,2000,185,78
"Summer Rain",8,2000,173,80
"No Leaf Clover",7,2000,166,74
"My Love Goes On And On",5,2000,165,76
"Do What You Gotta Do",6,2000,151,69
"I Don't Wanna Kiss You Goodnight",6,2000,149,61
"Another Nine Minutes",7,2000,143,74
"Put Your Hand In Mine",4,2000,133,76
"Nothing As It Seems",5,2000,130,49
"Mr. Too Damn Good",9,2000,125,76
"Private Emotion",7,2000,124,67
"Sleepwalker",7,2000,120,73
"Stay Or Let It Go",7,2000,104,76
"Smoke Rings In The Dark",4,2000,102,76
"Daddy Won't Sell The Farm",4,2000,99,79
"If I Am",7,2000,94,68
"Tricky, Tricky",6,2000,67,74
"3 Little Words",8,2000,59,89
"Me Neither",5,2000,50,85
"Thank You In Advance",8,2000,45,80
"A Country Boy Can Survive (Y2K Version)",5,2000,43,75
"The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",7,2000,33,87
"Hanging By A Moment",5,2001,4310,2
"How You Remind Me",8,2001,3936,1
"Wherever You Will Go",4,2001,3513,5
"It's Been Awhile",6,2001,3392,5
"Blurry",6,2001,2908,5
"U Got It Bad",7,2001,2703,1
"Hero",6,2001,2697,3
"Drive",7,2001,2542,9
"Follow Me",4,2001,2480,5
"Hit 'Em Up Style (Oops!)",6,2001,2457,2
"Differences",7,2001,2424,4
"Where The Party At",6,2001,2392,3
"My Sacrifice",6,2001,2347,4
"Superman (It's Not Easy)",9,2001,2340,14
"Peaches & Cream",7,2001,2325,4
"Stutter",7,2001,2203,1
"Fill Me In",5,2001,2105,15
"U Remind Me",7,2001,2101,1
"Gone",7,2001,1773,11
"When It's Over",6,2001,1625,13
"Jaded",8,2001,1536,7
"Fiesta",6,2001,1527,6
"7 Days",6,2001,1478,10
"Butterflies",7,2001,1432,14
"Missing You",6,2001,1366,4
"The Space Between",5,2001,1314,22
"Love",7,2001,1293,24
"Nobody Wants To Be Lonely",6,2001,1282,13
"Where The Stars And Stripes And The Eagle Fly",3,2001,1261,20
"Be Like That",5,2001,1222,24
"Ain't Nothing 'Bout You",6,2001,1216,25
"I'm Already There",9,2001,1212,24
"Good Morning Beautiful",5,2001,1124,29
"Lifetime",7,2001,1114,22
"Grown Men Don't Cry",7,2001,1104,25
"Smooth Criminal",6,2001,1084,23
"Austin",6,2001,1082,18
"One More Day",7,2001,1079,29
"Don't Happen Twice",6,2001,1078,26
"I Wanna Talk About Me",5,2001,1073,28
"Only In America",6,2001,1068,33
"Here's To The Night",5,2001,1060,30
"It's A Great Day To Be Alive",8,2001,1057,33
"Where Were You (When The World Stopped Turning)",5,2001,1039,28
"Run",4,2001,1031,34
"I'm Just Talkin' About Tonight",5,2001,1012,27
"Dig In",7,2001,965,31
"Bring On The Rain",10,2001,946,36
"Angry All The Time",5,2001,940,38
"She Couldn't Change Me",5,2001,938,37
"More Than That",7,2001,926,27
"You Rock My World",6,2001,922,10
"Wrapped Around",6,2001,896,35
"The Long Goodbye",5,2001,889,39
"Don't You Forget It",7,2001,867,30
"Where I Come From",5,2001,865,34
"I'm A Believer",6,2001,860,25
"Dance With Me",7,2001,841,39
"Where The Blacktop Ends",7,2001,809,35
"Pop",5,2001,798,19
"Maybe I Deserve",4,2001,777,38
"Flavor Of The Weak",6,2001,775,41
"Wrapped Up In You",6,2001,735,46
"Alive",8,2001,729,41
"I'm Tryin'",4,2001,720,44
"Drowning",6,2001,714,28
"Feelin' On Yo Booty",5,2001,710,36
"Stuck In A Moment You Can't Get Out Of",6,2001,705,52
"Riding With Private Malone",6,2001,699,36
"The World's Greatest",5,2001,691,34
"She's All I Got",6,2001,688,26
"Wish You Were Here",7,2001,667,60
"If You Can Do Anything Else",4,2001,646,51
"Just In Case",5,2001,639,52
"Love Of My Life",9,2001,623,51
"Two People Fell In Love",6,2001,606,51
"I Like Them Girls",3,2001,598,48
"Right Where I Need To Be",6,2001,589,42
"Every Other Time",6,2001,568,44
"God Bless The USA",7,2001,564,16
"Yellow",6,2001,557,48
"Mrs. Steven Rudy",5,2001,539,44
"Mad Season",7,2001,537,48
"When Somebody Loves You",5,2001,519,52
"Take You Out",5,2001,490,26
"Bad Day",7,2001,431,64
"Fade",7,2001,426,62
"Best I Ever Had (Grey Sky Morning)",5,2001,402,58
"Goodbye",6,2001,400,58
"With Me",7,2001,361,63
"There She Goes",8,2001,354,31
"Control",7,2001,351,68
"One More Time",7,2001,338,61
"Don't Talk",7,2001,330,58
"While You Loved Me",6,2001,309,60
"Laredo",7,2001,307,60
"What Am I Gonna Do",6,2001,282,71
"Six-Pack Summer",6,2001,269,56
"One Step Closer",8,2001,267,75
"Let's Stay Home Tonight",8,2001,261,68
"Crawling",7,2001,258,79
"I Did It",6,2001,247,71
"Angel",7,2001,238,70
"Thank You For Loving Me",7,2001,233,57
"There It Is",7,2001,224,66
"My Way",5,2001,224,75
"The Call",7,2001,200,52
"Fat Lip",8,2001,200,66
"Soul Sista",7,2001,182,71
"A Good Day To Run",4,2001,171,76
"The Rock Show",6,2001,167,71
"What If",7,2001,163,80
"Rose Bouquet",6,2001,72,78
"Imitation Of Life",7,2001,37,83
"Just A Baby Boy",5,2001,35,90
"Too Little Too Late",7,2001,24,86
"Freedom",6,2001,8,97
"Loaded",5,2001,5,97
"When I'm Gone",6,2002,3380,4
"Ignition",6,2002,3177,2
"One Last Breath",5,2002,2527,6
"The Middle",6,2002,2519,5
"Wasting My Time",7,2002,2171,13
"U Don't Have To Call",7,2002,2103,3
"Your Body Is A Wonderland",6,2002,2070,18
"Bump, Bump, Bump",6,2002,1854,1
"Hero",6,2002,1806,3
"dontchange",6,2002,1720,17
"No Such Thing",6,2002,1697,13
"She Hates Me",7,2002,1693,13
"Cry Me A River",6,2002,1664,3
"halfcrazy",6,2002,1648,16
"Gimme The Light",5,2002,1619,7
"Girlfriend",7,2002,1559,5
"Gotta Get Thru This",7,2002,1551,10
"Just A Friend 2002",7,2002,1497,4
"Like I Love You",6,2002,1454,11
"Escape",6,2002,1393,12
"19 Somethin'",5,2002,1322,23
"Somebody Like You",7,2002,1288,23
"The Good Stuff",5,2002,1271,22
"These Days",6,2002,1196,23
"She'll Leave You With A Smile",5,2002,1194,23
"Here Is Gone",7,2002,1185,18
"Anything",6,2002,1150,28
"Drive (For Daddy Gene)",5,2002,1146,28
"Beautiful Mess",7,2002,1118,28
"Living And Living Well",5,2002,1112,27
"Uh Huh",6,2002,1098,37
"Fabulous",7,2002,1098,28
"My List",5,2002,1088,26
"Who's Your Daddy?",5,2002,1087,22
"By The Way",6,2002,1066,34
"Stingy",7,2002,1063,33
"Disease",6,2002,1024,29
"Courtesy Of The Red, White And Blue (The Angry American)",5,2002,1007,25
"Makin' Good Love",7,2002,1005,27
"I Miss My Friend",7,2002,976,28
"Lifestyles Of The Rich And Famous",7,2002,972,20
"The Baby",6,2002,970,28
"The Cowboy In Me",7,2002,958,33
"Ten Rounds With Jose Cuervo",5,2002,950,26
"I Don't Have To Be Me ('til Monday)",7,2002,930,35
"Fall Into Me",6,2002,927,34
"Youth Of The Nation",8,2002,910,28
"I'm Gonna Miss Her (The Fishin' Song)",5,2002,904,29
"I Should Be...",6,2002,896,25
"Young",6,2002,888,35
"Running Away",7,2002,885,44
"The One",6,2002,876,37
"The Impossible",4,2002,876,29
"What If She's An Angel",6,2002,866,39
"Gots Ta Be",6,2002,858,34
"Unbroken",6,2002,857,26
"You Know You're Right",6,2002,842,45
"Where Are You Going",5,2002,841,39
"Too Bad",8,2002,826,42
"All My Life",5,2002,823,43
"That's When I Love You",6,2002,767,37
"Work In Progress",4,2002,755,35
"I'm Movin' On",5,2002,754,41
"I Should Be Sleeping",5,2002,752,35
"Walking Away",6,2002,746,44
"Someone To Love You",6,2002,746,49
"Red Rag Top",5,2002,743,40
"I Breathe In, I Breathe Out",4,2002,741,35
"Not A Day Goes By",5,2002,739,36
"Always",8,2002,697,51
"No One Knows",7,2002,673,51
"You Can't Hide Beautiful",5,2002,671,38
"Aerials",5,2002,655,55
"Make It Clap",5,2002,650,46
"The Red",7,2002,631,56
"My Town",7,2002,607,40
"You Know That I Love You",7,2002,585,54
"For You",7,2002,585,63
"Prayer",7,2002,583,58
"Feel It Boy",4,2002,547,28
"Bother",6,2002,543,56
"Fine Again",6,2002,530,61
"In A Little While",5,2002,527,59
"My Heart Is Lost To You",6,2002,515,48
"Drift & Die",6,2002,512,61
"A Lot Of Things Different",4,2002,436,55
"The Zephyr Song",6,2002,406,49
"Tonight I Wanna Be Your Man",5,2002,398,52
"This Woman's Work",10,2002,378,58
"Flake",6,2002,376,73
"Modern Day Bonnie And Clyde",7,2002,374,55
"Crawling In The Dark",7,2002,352,68
"What If A Woman",6,2002,328,63
"Cochise",7,2002,321,69
"The Rising",5,2002,320,52
"Chop Suey",5,2002,284,76
"Just Let Me Be In Love",5,2002,278,64
"Sweetness",8,2002,270,75
"Spin",6,2002,266,71
"She Was",4,2002,259,62
"I Am Mine",4,2002,255,43
"Hush Lil' Lady",7,2002,252,63
"That's Just Jessie",5,2002,248,76
"Out Of My Heart (Into Your Head)",6,2002,241,56
"Toxicity",7,2002,226,70
"She Loves Me Not",7,2002,218,76
"Here To Stay",6,2002,206,72
"Give It To Her",6,2002,189,85
"Defy You",6,2002,178,77
"Big Machine",7,2002,169,64
"Braid My Hair",8,2002,168,74
"I'd Rather",7,2002,156,83
"These Are The Days",6,2002,145,64
"Insatiable",7,2002,131,77
"Hate To Say I Told You So",6,2002,117,86
"Electrical Storm",7,2002,100,77
"I've Got You",7,2002,96,81
"Every River",5,2002,89,75
"Why I Love You",7,2002,74,73
"Help Me Understand",4,2002,72,80
"My Friends Over You",8,2002,61,85
"Take A Message",8,2002,61,89
"Downfall",6,2002,35,91
"Where Do We Go From Here",7,2002,19,94
"Don't Say No, Just Say Yes",8,2002,11,96
"Put Me Down",7,2002,7,98
"My Sweet Lord",6,2002,7,94
"Closet Freak",8,2002,6,98
"Be Here",5,2002,3,99
"Unwell",6,2003,4127,5
"Here Without You",6,2003,3923,5
"Someday",7,2003,3464,7
"Get Busy",4,2003,2629,1
"Drift Away",5,2003,2606,9
"Why Don't You & I",6,2003,2594,8
"Suga Suga",7,2003,2577,7
"Headstrong",6,2003,2471,16
"Numb",8,2003,2349,11
"Walked Outta Heaven",7,2003,2083,6
"No Letting Go",7,2003,2021,11
"Step In The Name Of Love",8,2003,1956,9
"How You Gonna Act Like That",7,2003,1885,7
"Calling All Angels",8,2003,1858,19
"Read Your Mind",6,2003,1802,13
"So Far Away",5,2003,1772,24
"Rock Your Body",7,2003,1733,5
"So Gone",6,2003,1647,10
"The Remedy (I Won't Worry)",6,2003,1634,15
"In Those Jeans",6,2003,1400,8
"Thoia Thoing",5,2003,1393,13
"Harder To Breathe",7,2003,1392,18
"If You're Not The One",7,2003,1388,15
"F**k It (I Don't Want You Back)",7,2003,1323,16
"My Front Porch Looking In",7,2003,1321,23
"Don't Wanna Try",6,2003,1296,19
"Bright Lights",7,2003,1295,23
"Clocks",6,2003,1266,29
"Are You Gonna Be My Girl",8,2003,1238,29
"Remember When",6,2003,1234,29
"Like Glue",4,2003,1222,13
"Put That Woman First",6,2003,1190,20
"Hell Yeah",5,2003,1187,17
"Perfect",6,2003,1151,24
"American Soldier",4,2003,1126,28
"I Love This Bar",4,2003,1125,26
"Red Dirt Road",6,2003,1124,25
"Like A Stone",7,2003,1118,31
"There Goes My Life",5,2003,1116,29
"What Was I Thinkin'",4,2003,1107,22
"Real Good Man",7,2003,1046,27
"Have You Forgotten?",5,2003,1039,22
"No Shoes, No Shirt, No Problems",4,2003,1034,28
"Brokenheartsville",4,2003,1028,27
"Dance With My Father",6,2003,1019,38
"Who Wouldn't Wanna Be Me",7,2003,1013,30
"Watch The Wind Blow By",8,2003,1012,32
"Big Yellow Taxi",5,2003,999,42
"Somewhere I Belong",5,2003,991,32
"Big Star",5,2003,980,28
"The Boys Of Summer",8,2003,964,20
"Snake",6,2003,956,16
"That'd Be Alright",5,2003,955,29
"I Melt",7,2003,930,34
"Man To Man",6,2003,925,25
"Celebrity",6,2003,923,31
"Help Pour Out The Rain (Lacey's Song)",4,2003,916,29
"Little Moments",4,2003,909,35
"I Believe",5,2003,909,31
"Three Wooden Crosses",4,2003,904,31
"She's My Kind Of Rain",6,2003,900,27
"Stay Gone",5,2003,884,32
"You Can't Take The Honky Tonk Out Of The Girl",8,2003,874,39
"Bigger Than My Body",5,2003,870,33
"Tough Little Boys",5,2003,866,32
"Stacy's Mom",5,2003,846,21
"Love You Out Loud",6,2003,815,30
"This Is The Night",7,2003,807,1
"Wave On Wave",5,2003,778,39
"Senorita",7,2003,768,27
"Addicted",7,2003,766,45
"Raining On Sunday",6,2003,747,38
"Cowboys Like Us",5,2003,725,38
"Invisible",7,2003,724,37
"More & More",6,2003,709,48
"What Would You Do?",8,2003,695,49
"(I Hate) Everything About You",7,2003,693,55
"What A Beautiful Day",6,2003,669,41
"Speed",4,2003,641,47
"Blowin' Me Up (With Her Love)",4,2003,639,35
"Girlfriend",6,2003,567,30
"Flying Without Wings",7,2003,565,2
"Can't Stop",6,2003,562,57
"Hell Yeah",6,2003,517,45
"Heaven",6,2003,514,59
"Honesty (Write Me A List)",4,2003,510,57
"Times Like These",6,2003,507,65
"Send The Pain Below",6,2003,497,65
"Show Me How To Live",7,2003,486,67
"The Anthem",6,2003,471,43
"Girls And Boys",6,2003,464,48
"Weak And Powerless",5,2003,453,61
"Chicks Dig It",6,2003,441,53
"Forthenight",7,2003,441,53
"A Few Questions",4,2003,432,55
"Signs Of Love Makin'",5,2003,429,57
"I'd Do Anything",6,2003,402,51
"Drinkin' Bone",4,2003,400,60
"Then They Do",4,2003,389,52
"Seven Nation Army",6,2003,375,76
"Can't Stop Loving You",7,2003,373,76
"Hit That",8,2003,372,64
"The Love Song",4,2003,364,59
"Still Frame",8,2003,341,69
"Almost Home",5,2003,340,59
"Walk A Little Straighter",5,2003,330,67
"Away From Me",7,2003,321,72
"99.9% Sure (I've Never Been Here Before)",6,2003,316,57
"I Wish You'd Stay",6,2003,306,57
"Amazing",6,2003,301,79
"Long Black Train",3,2003,297,72
"Walking In Memphis",9,2003,293,61
"God Bless The U.S.A.",6,2003,291,4
"Did My Time",6,2003,284,38
"I Can Only Imagine",6,2003,278,71
"Hole In The World",6,2003,263,69
"Price To Play",7,2003,249,66
"Girl All The Bad Guys Want",6,2003,239,64
"Badaboom",6,2003,233,59
"I Love You",5,2003,200,77
"That Girl",7,2003,189,63
"Love You More",6,2003,187,78
"Tell Me Something Bad About Tulsa",4,2003,175,69
"Hot & Wet",7,2003,173,70
"Stupid Girl",5,2003,168,87
"Another Postcard (Chimps)",4,2003,160,82
"Peacekeeper",6,2003,150,80
"Just Because",8,2003,147,72
"You",7,2003,145,81
"Straight Out Of Line",6,2003,133,73
"Rock You Baby",5,2003,116,66
"She Only Smokes When She Drinks",4,2003,113,72
"Unusually Unusual",5,2003,109,66
"Pon De River, Pon De Bank",7,2003,107,86
"Chrome",3,2003,79,74
"Tal Vez",7,2003,78,74
"Soldier's Heart",8,2003,52,80
"Find A Way",6,2003,47,93
"I Can't Take You Anywhere",4,2003,37,91
"Crazy",7,2003,30,95
"One More Chance",9,2003,29,83
"Rest In Pieces",7,2003,12,93
"Simply Being Loved (Somnambulist)",7,2003,9,98
"Rubberneckin'",6,2003,8,94
"I Need You Now",7,2003,8,96
"Sympathy For The Devil (Remixes)",7,2003,4,97
"Yeah!",7,2004,3817,1
"This Love",7,2004,3442,5
"She Will Be Loved",8,2004,3314,5
"The Reason",8,2004,3114,2
"Let Me Love You",5,2004,2999,1
"Boulevard Of Broken Dreams",5,2004,2900,2
"Burn",8,2004,2608,1
"I Don't Wanna Know",6,2004,2438,2
"Tipsy",5,2004,2408,2
"Heaven",6,2004,2169,16
"Confessions Part II",8,2004,2155,1
"Over And Over",4,2004,2083,3
"Dip It Low",7,2004,2072,5
"I Don't Want To Be",6,2004,2032,10
"One Thing",7,2004,1981,16
"Turn Me On",8,2004,1892,4
"Meant To Live",8,2004,1819,18
"On The Way Down",7,2004,1762,15
"Locked Up",7,2004,1758,8
"I'm Still In Love With You",5,2004,1545,14
"Daughters",6,2004,1539,19
"Charlene",6,2004,1484,19
"I Like That",5,2004,1483,11
"Sorry 2004",6,2004,1472,9
"Live Like You Were Dying",6,2004,1428,29
"Broken",5,2004,1408,20
"Beautiful Soul",7,2004,1371,16
"100 Years",8,2004,1314,28
"True",7,2004,1280,18
"Vertigo",8,2004,1224,31
"Breaking The Habit",8,2004,1190,20
"Bless The Broken Road",7,2004,1125,29
"You'll Think Of Me",6,2004,1088,24
"Letters From Home",4,2004,1083,24
"Some Beach",5,2004,1054,28
1985,8,2004,1052,23
"I Go Back",7,2004,1038,32
"Mayberry",7,2004,1029,21
"Days Go By",7,2004,1027,31
"Give A Little Bit",7,2004,952,37
"Nothing On But The Radio",5,2004,951,32
"Mud On The Tires",5,2004,945,30
"Mr. Mom",5,2004,922,33
"Accidentally In Love",5,2004,918,39
"Back When",5,2004,914,30
"Lady",8,2004,903,27
"If You Ever Stop Loving Me",6,2004,899,30
"Take My Breath Away",6,2004,867,20
"You're My Better Half",4,2004,867,33
"Let's Be Us Again",5,2004,849,38
"Whiskey Girl",5,2004,840,31
"Awful, Beautiful Life",5,2004,819,30
"I Hate Everything",3,2004,811,35
"In A Real Love",7,2004,778,38
"Don't Take Your Love Away",5,2004,772,37
"That's What It's All About",5,2004,770,38
"Sweet Southern Comfort",6,2004,769,40
"Ocean Avenue",6,2004,768,37
"The Woman With You",5,2004,741,33
"Megalomaniac",8,2004,711,55
"I Miss You",6,2004,699,42
"Slither",7,2004,693,56
"Somebody Told Me",6,2004,688,51
"Welcome To My Life",8,2004,675,40
"Tempted To Touch",5,2004,630,39
"Stays In Mexico",5,2004,629,51
"How Am I Doin'",5,2004,621,49
"Cold Hard Bitch",8,2004,610,55
"Monday Morning Church",4,2004,577,54
"Desperately",5,2004,570,44
"Just Like You",8,2004,567,55
"Feelin' Way Too Damn Good",6,2004,562,48
"Paint Me A Birmingham",6,2004,557,42
"That's What She Gets For Loving Me",6,2004,549,53
"I Can't Wait",7,2004,542,40
"Too Much Of A Good Thing",5,2004,538,46
"She Thinks She Needs Me",6,2004,538,43
"American Idiot",7,2004,538,61
"Love Song",6,2004,534,59
"Fall To Pieces",7,2004,521,67
"I Got A Feelin'",6,2004,506,50
"Hot Mama",4,2004,481,51
"Falls On Me",6,2004,455,52
"I Want To Live",7,2004,453,45
"Feels Like Today",8,2004,444,56
"So Cold",8,2004,436,76
"I Love You This Much",7,2004,426,53
"Figured You Out",5,2004,420,65
"I Am The Highway",6,2004,406,66
"U Saved Me",7,2004,397,52
"Away From The Sun",6,2004,394,62
"Float On",7,2004,378,68
"Take Me Out",7,2004,367,66
"If Nobody Believed In You",4,2004,361,68
"Love's Divine",6,2004,349,79
"Getting Away With Murder",8,2004,338,69
"Ride Wit U",7,2004,308,56
"Hey Good Lookin'",5,2004,294,63
"You Raise Me Up",7,2004,289,73
"Vitamin R (Leading Us Along)",6,2004,276,68
"Songs About Rain",6,2004,262,71
"Call My Name",7,2004,240,75
"Cold",4,2004,236,81
"whoknows",6,2004,215,65
"Good Little Girls",6,2004,200,63
"I Can't Sleep",5,2004,188,61
"Used To Love U",6,2004,185,74
"King Of The Dancehall",5,2004,184,80
"Behind Blue Eyes",6,2004,182,71
"Where Are We Runnin'?",6,2004,142,69
"Hold On",6,2004,134,63
"Last Train Home",6,2004,103,75
"Gal Yuh Ah Lead",4,2004,95,85
"Hot 2Nite",7,2004,87,87
"Rough & Ready",5,2004,78,75
"Last One Standing",4,2004,75,89
"The Outsider",7,2004,53,79
"Some Girls (Dance With Women)",6,2004,49,88
